2017,15
2018,6
2019,13
2020,6
2021,14
2022,9
2023,9
2024,18
2025,6
2026,11
2027,9
2028,11
2029,9
2030,12
2031,11
2032,13
2033,9
2034,13
2035,9
2036,16
2037,15
2038,11
2039,9
2040,7
2041,5
2042,13
2043,6
2044,14
2045,9
2046,6
2047,7
2048,9
2049,11
2050,12
2051,20
2052,6
2053,6
2054,8
2055,8
2056,9
2057,15
2058,9
2059,11
2060,15
2061,11
2062,11
2063,12
2064,11
2065,5
2066,9
2067,12
2068,9
2069,10
2070,9
2071,11
2072,16
2073,12
2074,11
2075,13
2076,14
2077,16
2078,5
2079,13
2080,9
2081,11
2082,6
2083,15
2084,10
2085,8
2086,7
2087,9
2088,4
2089,10
2090,5
2091,10
2092,15
2093,7
2094,16
2095,13
2096,19
2097,8
2098,12
2099,7
2100,11
2101,9
2102,10
2103,6
2104,6
2105,6
2106,9
2107,14
2108,14
2109,12
2110,10
2111,19
2112,20
2113,19
2114,14
2115,28
2116,16
2117,24
2118,16
2119,20
2120,17
2121,18
2122,17
2123,16
2124,19
2125,20
2126,17
2127,15
2128,32
2129,22
2130,14
2131,24
2132,21
2133,18
2134,18
2135,28
2136,19
2137,16
2138,20
2139,15
2140,11
2141,15
2142,27
2143,18
2144,21
2145,21
2146,25
2147,17
2148,19
2149,20
2150,12
2151,15
2152,16
2153,20
2154,32
2155,24
2156,13
2157,15
2158,26
2159,13
2160,15
2161,25
2162,19
2163,20
2164,12
2165,16
2166,22
2167,15
2168,18
2169,14
2170,15
2171,19
2172,20
2173,12
2174,17
2175,13
2176,18
2177,19
2178,19
2179,14
2180,19
2181,25
2182,15
2183,12
2184,17
2185,16
2186,21
2187,24
2188,16
2189,12
2190,23
2191,14
2192,15
2193,16
2194,22
2195,18
2196,22
2197,17
2198,9
2199,22
2200,13
